AUTHID,sEXT,sNEU,sAGR,sCON,sOPN,cEXT,cNEU,cAGR,cCON,cOPN
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
318bf822d4f2bd3920367560218619c0,4.5,4,3,4.5,3.75,y,y,n,y,n
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
ecbddbfe00e0f83cfdb802a7186061c7,4.3,2.15,3.6,3.3,4.1,y,n,y,n,y
db39f7b2aad360b1033ec1f8fcd57f9c,4.65,3.2,3.05,3.65,4.75,y,y,n,y,y
db39f7b2aad360b1033ec1f8fcd57f9c,4.65,3.2,3.05,3.65,4.75,y,y,n,y,y
db39f7b2aad360b1033ec1f8fcd57f9c,4.65,3.2,3.05,3.65,4.75,y,y,n,y,y
db39f7b2aad360b1033ec1f8fcd57f9c,4.65,3.2,3.05,3.65,4.75,y,y,n,y,y
db39f7b2aad360b1033ec1f8fcd57f9c,4.65,3.2,3.05,3.65,4.75,y,y,n,y,y
db39f7b2aad360b1033ec1f8fcd57f9c,4.65,3.2,3.05,3.65,4.75,y,y,n,y,y
db39f7b2aad360b1033ec1f8fcd57f9c,4.65,3.2,3.05,3.65,4.75,y,y,n,y,y
db39f7b2aad360b1033ec1f8fcd57f9c,4.65,3.2,3.05,3.65,4.75,y,y,n,y,y
db39f7b2aad360b1033ec1f8fcd57f9c,4.65,3.2,3.05,3.65,4.75,y,y,n,y,y
db39f7b2aad360b1033ec1f8fcd57f9c,4.65,3.2,3.05,3.65,4.75,y,y,n,y,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
4d035bd3fd8d9595d15cea9e388964be,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y
